,id,time,open,high,low,close,volume,ranges,MA7,MA25,MA99,upperBB,lowerBB
0,1,2019-09-09,10316.6,10475.5,10077.2,10307,14824.4,398.32,,,,,
1,2,2019-09-10,10307,10383,9940.87,10102,9068.96,442.1,10204.5,10204.5,10204.5,10494.4,9914.59
2,3,2019-09-11,10094.3,10293.1,9884.31,10159.5,10897.9,408.8,10189.5,10189.5,10189.5,10401,9978.02
3,4,2019-09-12,10163.1,10450.1,10042.1,10415.1,15609.6,408.01,10245.9,10245.9,10245.9,10530,9961.8
4,5,2019-09-13,10415,10440.5,10153.5,10341.3,19252.7,287.04,10265,10265,10265,10525.4,10004.6
5,6,2019-09-14,10343,10420,10222.8,10332.2,20656.6,197.2,10276.2,10276.2,10276.2,10515.5,10036.9
6,7,2019-09-15,10333.5,10359.2,10024.8,10302.2,20536.3,334.39,10279.9,10279.9,10279.9,10499.2,10060.6
7,8,2019-09-16,10302,10353.8,10080.7,10249.3,20185.6,273.11,10271.7,10276.1,10276.1,10480.3,10071.9
8,9,2019-09-17,10257.3,10270.6,10136.8,10186.5,22519.6,133.86,10283.7,10266.1,10266.1,10466.3,10066
9,10,2019-09-18,10183.9,10256.7,10097.9,10155.2,20832.9,158.73,10283.1,10255,10255,10456.3,10053.7
10,11,2019-09-19,10154.7,10331.6,9530.02,10245.3,26228.8,801.6,10258.9,10254.1,10254.1,10445.2,10063.1
11,12,2019-09-20,10247.7,10279.3,10070.5,10166.3,23265.9,208.8,10233.9,10246.8,10246.8,10435.9,10057.7
12,13,2019-09-21,10166.6,10175.3,9912.63,9983.33,23642.4,262.67,10184,10226.6,10226.6,10459.2,9993.87
13,14,2019-09-22,9992.7,10089.5,9857,10023,23916.4,232.52,10144.1,10212,10212,10460.6,9963.38
14,15,2019-09-23,10027.7,10046.9,9620,9701.96,31927.1,426.91,10065.9,10178,10178,10534.1,9821.95
15,16,2019-09-24,8683.2,9792.83,8645.61,8645.61,29758.5,1147.22,9845.81,10082.2,10082.2,10922.1,9242.36
16,17,2019-09-25,8493.32,8725.24,8200,8430.07,48222.1,525.24,9599.37,9985.05,9985.05,11126.8,8843.31
17,18,2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.9,763.73,9287.2,9878.11,9878.11,11310,8446.23
18,19,2019-09-27,8061.98,8260,7851.94,8176.52,40034.7,408.06,9002.95,9788.55,9788.55,11384.2,8192.96
19,20,2019-09-28,8178.26,8311,8001.14,8195.38,33820.9,309.86,8747.53,9708.9,9708.9,11417.6,8000.22
20,21,2019-09-29,8199,8226.35,7888.98,8041.96,35966.1,337.37,8464.52,9629.52,9629.52,11446.9,7812.14
21,22,2019-09-30,8042.08,8331.89,7709.01,8285.84,54412.5,622.88,8262.22,9568.44,9568.44,11432.3,7704.61
22,23,2019-10-01,8285.31,8499,8171,8290,39212.8,328,8211.42,9512.86,9512.86,11410.3,7615.44
23,24,2019-10-02,8290,8365.92,8149.35,8352.14,30329.2,216.57,8200.28,9464.49,9464.49,11379.8,7549.23
24,25,2019-10-03,8353.4,8386,8020,8220.27,33430.2,366,8223.16,9414.73,9414.73,11354.6,7474.86
25,26,2019-10-04,8219.95,8227.42,7979.95,8130.56,28421.1,247.47,8216.59,9327.67,9365.33,11295.8,7359.51
26,27,2019-10-05,8130,8175,8010,8122.14,30262,165,8206.13,9248.47,9319.29,11245.9,7251.02
27,28,2019-10-06,8122.01,8148.43,7760,7852.79,41909,388.43,8179.11,9156.21,9266.92,11191.1,7121.35
28,29,2019-10-07,7851.01,8330,7764.42,8186.88,62760.3,565.58,8164.97,9067.08,9229.67,11067.1,7067.07
29,30,2019-10-08,8188.55,8322.01,8103.88,8167.62,44715.2,218.13,8147.49,8980.13,9194.27,10937.9,7022.39
30,31,2019-10-09,8168.33,8700,8113,8559.77,65453.6,587,8177.15,8909.23,9173.8,10789.8,7028.65
31,32,2019-10-10,8559.77,8640.89,8419.34,8556.02,44285.7,221.55,8225.11,8839.38,9154.5,10632,7046.72
32,33,2019-10-11,8557,8788,8210,8255.58,69158,578,8242.97,8759.64,9127.26,10466.3,7052.99
33,34,2019-10-12,8255.54,8397.45,8248.34,8300.22,37761.5,149.11,8268.41,8684.18,9102.93,10291.9,7076.46
34,35,2019-10-13,8300.31,8456,8137.3,8274.66,43820.9,318.7,8328.68,8608.96,9079.27,10101.8,7116.15
35,36,2019-10-14,8274.33,8381.77,8205.02,8346.05,61999.8,176.75,8351.42,8532.99,9058.9,9863.29,7202.69
36,37,2019-10-15,8346.31,8408.62,8080,8160.01,86246.8,328.62,8350.33,8452.74,9034.61,9602.28,7303.2
37,38,2019-10-16,8160.55,8184,7900.24,7992.21,70434.5,283.76,8269.25,8373.1,9007.17,9342.58,7403.61
38,39,2019-10-17,7994.76,8124.63,7930,8069.2,58354.6,194.63,8199.7,8294.94,8983.12,8984.98,7604.91
39,40,2019-10-18,8069.41,8117.3,7812,7943.94,75251.4,305.3,8155.18,8224.62,8957.14,8606.9,7842.35
40,41,2019-10-19,7945.57,8108.54,7852.12,7947.13,78024.4,256.42,8104.74,8196.68,8932.51,8551.9,7841.47
41,42,2019-10-20,7947.78,8300.5,7871.17,8218.23,78663.9,429.33,8096.68,8188.21,8915.5,8530.08,7846.34
42,43,2019-10-21,8218.23,8334.57,8150,8201.74,59928.5,184.57,8076.07,8193.87,8898.9,8531.58,7856.17
43,44,2019-10-22,8201,8290,8000,8020.89,69506.9,290,8056.19,8187.65,8878.95,8532.35,7842.95
44,45,2019-10-23,8020.68,8047.78,7172.76,7465,108484,875.02,7980.88,8158.43,8847.53,8608.2,7708.67
45,46,2019-10-24,7465.18,7495.81,7337.44,7411.35,66719.5,158.37,7886.9,8133.21,8816.31,8672.1,7594.32
46,47,2019-10-25,7410.07,8800,7359,8650,165119,1441,7987.76,8147.78,8812.77,8722.36,7573.19
47,48,2019-10-26,8650,10408.5,8626.89,9232.22,248161,1781.59,8171.35,8185.46,8821.51,8904.39,7466.54
48,49,2019-10-27,9234.75,9803.83,9066.07,9533.32,163544,737.76,8359.22,8232.71,8836.03,9130.33,7335.1
49,50,2019-10-28,9534.37,9930.13,9156.03,9217.36,155600,774.1,8504.31,8272.6,8843.66,9252.72,7292.47
50,51,2019-10-29,9215.78,9569.1,9070,9415.02,124703,499.1,8703.47,8323.97,8854.86,9402.77,7245.18
51,52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.9,442.93,8946.37,8365.7,8860.83,9491.64,7239.76
52,53,2019-10-31,9163.4,9438.64,8933,9150,98836,505.64,9194.75,8417.59,8866.29,9564.41,7270.77
53,54,2019-11-01,9149.88,9280,9050.27,9231.01,87256.9,229.73,9277.75,8459.35,8873.04,9646.5,7272.2
54,55,2019-11-02,9231.7,9375,9194.98,9287.8,56602.1,180.02,9285.69,8504.16,8880.58,9729.38,7278.94
55,56,2019-11-03,9288.96,9366.69,9073,9197.88,75612.7,293.69,9237.77,8529.69,8886.25,9785.93,7273.44
56,57,2019-11-04,9197.86,9550,9126.01,9395.46,90433.4,423.99,9263.21,8563.26,8895.18,9866.43,7260.09
57,58,2019-11-05,9395.47,9457.13,9164.33,9313.2,113738,292.8,9248.66,8605.57,8902.39,9935.51,7275.62
